Name,Time,Grid,X,Y
Alspaugh,29,19,1,8
Bassett,28,19,1,8
Bell Tower,31,18,1,7
Blackwell Dorm,28,19,1,8
Brown Dorm,29,19,1,8
East House,27,19,1,8
Epworth Dorm,29,19,1,8
Gilbert-Addoms,29,19,1,8
Giles Dorm,28,19,1,8
Pegram,26,19,1,8
Randolph Dorm,30,19,1,8
Southgate Dorm,30,18,1,7
Trinity,31,18,1,7
West House,26,19,1,8
Wilson Dorm,28,19,1,8
300 Swift,24,28,2,7
Craven Quad,11,34,3,3
Crowell Quad,11,33,3,2
Decker Tower,15,34,3,3
Edens Quad,14,35,3,4
Few Quad,15,34,3,3
Hollows B,5,44,4,3
Keohane 4E,12,34,3,3
Keohane Quad,11,34,3,3
Kilgo Quad,15,34,3,3
Wannamaker Quad,10,34,3,3
Baldwin Auditorium,29,9,0,8
Bishop's House,28,10,0,9
Bivins Building,30,19,1,8
Branson Hall,29,9,0,8
Brodie Recreation Center,27,19,1,8
Classroom Building,24,19,1,8
Crowell Building,25,19,1,8
East Duke Building,26,29,2,8
Friedl Building,24,19,1,8
Lilly Library,26,19,1,8
Mary Duke Biddle Music Building,28,9,0,8
West Duke Building,25,29,2,8
White Lecture Hall,24,29,2,8
Allen Building,13,34,3,3
Biosciences Building,16,23,2,2
Brodhead Center,12,34,3,3
Bryan Center,16,33,3,2
Card Gymnasium,11,43,4,2
Duke Chapel,15,34,3,3
Fitzpatrick,18,24,2,3
Fuqua School of Business,21,32,3,1
Gross Hall,15,32,3,1
Health and Wellness Center,10,33,3,2
Languages Building,14,24,2,3
LSRC,19,23,2,2
Old Chemistry Building,15,24,2,3
Penn Pavillion ,12,33,3,2
Bostock Library,15,24,2,3
Rubenstein Library,15,34,3,3
Reuben-Cooke Building,15,24,2,3
Sanford Building,13,33,3,2
Social Sciences Building,14,24,2,3
Wilson Recreation ,11,43,4,2
Chipotle ,29,2,0,1
Sushi Love,31,12,1,1
Devil's Pizzeria ,29,8,0,7
Wholefoods,25,18,1,7
Smash Burger,29,2,0,1
Exxon,25,3,0,2
The University Inn,19,4,0,3
Berkshire MainStreet,25,6,0,5
Burger Bach,31,7,0,6
Moge Tea,30,8,0,7
Nanaline Duke,22,13,1,2
Duke University Hospital,20,14,1,3
Trent Hall,17,15,1,4
Guasaca,29,16,1,5
Alpaca,28,17,1,6
JB Duke Hotel,22,42,4,1
Bluezone Parking,11,44,4,3
Nasher Museum of Art,16,36,3,5
Duke Garden,21,25,2,4
Karsh Alumni Center,15,35,3,4
Pascal Field House,18,53,5,2
Washington Duke Inn,24,52,5,1
Hollows A,0,44,4,3
